Date;Action;Ressource;Utilisateur;Détails;ID Ressource
18/04/2026 07:44:24;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:41:30;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:41:24;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:41:20;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:41:18;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:41:15;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:41:08;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:41:03;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:40:54;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:38:54;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:38:42;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:38:14;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:38:10;Création;Audit;Eric RIZUX;"POST /api/v1/audit";
18/04/2026 07:38:10;Bascule;Bannière;Eric RIZUX;"Bannière ""Bon achat à vous 💕😊😊😊😊😊"" activée";1b5be393-18d2-4569-b32d-6c0a0efcc253
18/04/2026 07:38:07;Modification;Banners;Eric RIZUX;"PATCH /api/v1/banners/1b5be393-18d2-4569-b32d-6c0a0efcc253/toggle";1b5be393-18d2-4569-b32d-6c0a0efcc253
18/04/2026 07:38:05;Création;Audit;Eric RIZUX;"POST /api/v1/audit";
18/04/2026 07:38:04;Bascule;Bannière;Eric RIZUX;"Bannière ""Soldes flash -20%"" activée";212f7fdd-46fe-49ae-b460-be50a0e6104d
18/04/2026 07:38:04;Modification;Banners;Eric RIZUX;"PATCH /api/v1/banners/212f7fdd-46fe-49ae-b460-be50a0e6104d/toggle";212f7fdd-46fe-49ae-b460-be50a0e6104d
18/04/2026 07:37:55;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:35:13;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:35:10;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:34:47;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:34:41;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:34:39;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:34:18;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:34:18;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:34:17;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:34:06;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:29:25;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:29:15;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:12:13;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:11:56;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:11:53;Création;CustomerEvents;Système;"POST /api/v1/customer-events";
18/04/2026 07:11:51;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:11:50;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:11:50;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:11:47;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:11:32;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:11:27;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:11:17;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:11:13;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:11:12;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:11:11;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:11:11;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:11:09;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:11:08;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:11:07;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
18/04/2026 07:11:05;Modification;StoreConfig;Eric RIZUX;"PUT /api/v1/store-config";
